UserName,Handle,Timestamp,Comments,Rate,Likes,Retweets
Queens Ledger,@QueensLedger,2022-05-11T14:33:57.000Z,"queensledger.com
OP-ED: Local Control Will Help Prevent Deadly Crashes - Queens Ledger
To save lives, Albany must act before the end of current session By Assembly Member Jessica González-Rojas and Commissioner Ydanis Rodriguez On a late Saturday evening at about 11:30pm in October,...",,,,1
joseph,@jtedeschi1968,2022-05-11T14:33:57.000Z,,,,,
H&M USA,@hmusa,2022-05-11T14:33:57.000Z,"hm.com
Explore More",,2,1,25
SocialQuirky,@SocialQuirky,2022-05-11T14:33:57.000Z,"Ah, got it.  Nice to see such an article/write-up...",,,,
Andrew Hevesi,@AM_AndrewHevesi,2022-05-11T14:33:57.000Z,,,,1,
JoeSchoen's11,@RashiTosafos,2022-05-11T14:33:57.000Z,,,,,
Ben Jay,@FakeBenJay,2022-05-11T14:33:57.000Z,,,,,2
Volvo Car USA,@VolvoCarUSA,2022-05-11T13:40:44.000Z,"volvocars.com
The Volvo XC90 Recharge Plug-in Hybrid ",,61,46,374
PS254Queens,@Ps254queens,2022-05-11T13:40:44.000Z,,,,,
David Dartley,@ddartley,2022-05-11T13:40:44.000Z,"Some glitch is preventing the link from working (for me, at least), but you can find the slideshow if you search nytimes for ""stoops"" and ""open streets."" It's dated May 10th.
https://nytimes.com/interactive/2022/05/11/nyregion/open-streets-nyc-stoops.html?shared=1…",,1,,
New York City 311,@nyc311,2022-05-11T13:40:44.000Z,"@olivares_nauta
 @NYC_DOT
 Hi, always call 911 to report an unprotected street opening that could cause an incident. You can report this as a cave-in to the Department of Transportation online: http://on.nyc.gov/39enKOk, or you may DM us for help. Thank you.",,,,
NYC DOT,@NYC_DOT,2022-05-11T13:40:44.000Z,"ALT
New York City 311 and 3 others",,,,
Michael A Replogle,@MichaelReplogle,2022-05-11T13:40:44.000Z,"1
1",,1,,1
Eduardo Olivares,@olivares_nauta,2022-05-11T13:40:44.000Z,,,1,,
JimRockaway,@JimRockaway,2022-05-11T13:40:44.000Z,"Concrete Jersey barriers were announced in Queens for Crescent St, Vernon Blvd, Queens Blvd then in 2nd round Northern Blvd. It’s slow going.",,,,1
Ken Coughlin,@kencoughlin,2022-05-11T13:40:44.000Z,"p2a.co
Build the Park Slope Play Street Pedestrian Plaza
I just took action to support the Park Slope Play Street Pedestrian Plaza. Click to do the same: http://p2a.co/f4cIWAq",,,,1
Vince NY,@vincebikesny,2022-05-11T13:40:44.000Z,Hope the concrete jersey protection will be a reality,,,,
Nancy,@bananacoffeemi,2022-05-11T13:40:44.000Z,Would also love to see cyclists and scooters ticketed.,,,,
Volvo Car USA,@VolvoCarUSA,2022-05-11T13:40:44.000Z,"volvocars.com
The Volvo XC90 Recharge Plug-in Hybrid ",,73,49,307
"Streetfilms (1,030 videos!)",@Streetfilms,2022-05-11T13:40:44.000Z,,,2,3,17
Choresh Wald,@Choresh2,2022-05-11T13:40:44.000Z,,,,,
WalkBikeNow,@WalkBikeNow,2022-05-11T11:37:29.000Z,"Dana Goldstein
@DanaGoldstein
 · 18h
I know this is a national phenomenon, but it's truly wild how panicked, mean, and unruly the roads are out there. I live in one of the most pedestrian/bike friendly neighborhoods in the U.S., and yet it still feels like a battle to get my kid home from school without a car.",,,,1
sLeti,@aizi_rocco,2022-05-11T11:37:29.000Z,Grand army plaza has so much potential but it’s currently just a glorified intersection. Close it off to cars completely and it’ll become the coolest spot in the city,,,,2
Ricardo Pacheco,@RPachecoJH,2022-05-11T11:37:29.000Z,"@NYCMayor
 @NYCMayorsOffice
 @JHCoopsAlliance
 @BringBackNYC
 @QueensCrapper
 @nypost
 @jaswalnyc
 @MarkLevineNYC
 @CurtisSliwa
 @NYCComptroller
 @GovKathyHochul
 @NYC_DOT
 @NYCCouncil
 @univisionNY
 @Gloria69NY
 @34OSResistersU",,,1,1
Yolanda,@thequeen0000,2022-05-11T11:37:29.000Z,Agree  Percent,,,,
@megshashin,@megshashin,2022-05-11T11:37:29.000Z,"How do you catch them? No license plates! 
@NYCCouncil
 @NYCMayor
 @NYCMayorsOffice
 @NYCSHERIFF
 @NYPDPC
 @NYPDTips
 @NYPDnews",,,,
Dat Phan,@datphan,2022-05-11T11:37:29.000Z,"I've encountered some maniacs here swerving towards me to desperately get parking, on top of the jackasses parking in double bike lanes. Desperation for parking is too common in modern American everyday life.",,,,
Nycallday,@Nycallday5,2022-05-11T11:37:29.000Z,Where can I see a study you did proving this ? Speed cameras make the city money and that’s all you care about.  Saying something and seeing something are two different things.,,,,
Srdr,@srdrgcl,2022-05-11T11:37:29.000Z,Why don't you try to stop crime ?  Why don't you fix roads ? You don't care save lives. Cameras do  not save lives. You only want dollars.,,,,
Greg Ory,@safestreets4NYC,2022-05-11T11:37:29.000Z,,,,1,4
Dr. Umstick,@Drumstick,2022-05-11T11:37:29.000Z,"mikmak.com
Another Day, Another Drumstick®",,2,4,26
helen gigante,@hgigante,2022-05-11T11:37:29.000Z,Gangster fraud…exodus out of the city will continue,,,,
Streetsblog New York,@StreetsblogNYC,2022-05-11T11:37:29.000Z,"nyc.streetsblog.org
Brooklyn Pols: Fix Grand Army Plaza and Make it Safer
The letter by Council Members Crystal Hudson and Shahana Hanif said the DOT needs to build on work it has already done.",,5,11,54
Gus Snowdon,@gussnowdon,2022-05-11T11:37:29.000Z,yes.,,,,
james ruzak,@jamesruzak,2022-05-11T11:37:29.000Z,"Our roads is worse then in Ukraine  like no further the. The Harlem river drive in nyc or FDR DRIVE 
@NYC_DOT
 or 
@NYCMayorsOffice
  can use that money to improve our roads security and help with food for the poor",,,,2
helen gigante,@hgigante,2022-05-11T11:37:29.000Z,It can easily go the other way if we go into a protracted downturn What part of the implosion of parts of the Bronx & Brooklyn…the city on its knees begging for its very life in front of Congress…do these feckless fools not grasp Can easily send Jax Hght back to a no- go zone,,,,1
JP20,@JP67220,2022-05-11T02:57:47.000Z,Very green of them.,,,,1
Pedro 我是纽约人,@_pjrt,2022-05-11T02:57:47.000Z,"Will you truly prefer that the person that killed your child not be inconvenienced? Would you not prefer that hey, maybe driving is harder but my child will be safer regardless of how dumb they are? 

Only a maniac would choose driver convenience over a child's life.",,,,
VISIT FLORIDA,@VISITFLORIDA,2022-05-11T02:57:47.000Z,"visitflorida.com
Plan Your Vacation",,21,8,8
Pedro 我是纽约人,@_pjrt,2022-05-11T02:57:47.000Z,"If you tell your child all those things, would that guarantee that they won't get hit? No, ofc not. But would you not prefer for your child to not die even if they happen to be on their phone? Or talking to a friend? Or just got distracted? Or any other random reason?",,2,,
JQ LLC: The Impunity City,@ImpunityCity,2022-05-11T02:57:47.000Z,They already have children playing games on the dirty asphalt.,,1,,1
Nycallday,@Nycallday5,2022-05-11T02:57:47.000Z,How about you fix your dangerous road designs that cause more accidents and deaths by confusing motorist and pedestrians. Stop stealing for people and fix the roads!!,,,,
Nycallday,@Nycallday5,2022-05-11T02:57:47.000Z,"Stop trying to push your money laundering scheme funded by tax payers, you’re thieves. These cameras do nothing for safety they are just a cash cows. Where are your traffic studies that are not biased towards your money laundering??",,,,
JP20,@JP67220,2022-05-11T02:57:47.000Z,"They’ll be very comfortable to sit on after baking in the sun for a few hours, unless open spaces streets are getting fake trees.",,1,,
JQ LLC: The Impunity City,@ImpunityCity,2022-05-11T02:57:47.000Z,"Jackson Heights just say NO!
@earbears
 · 12h
Look how lucky we are.

These horrible stoops are being installed on the OS by the end of May. The article says that the two were made for $55,000. That is a lot of $$$ for this ""item"" - hunk of metal.

We need an audit of the DOT and their partner. 

https://nytimes.com/interactive/2022/05/10/nyregion/open-streets-nyc-stoops.html?fbclid=IwAR1jBbwfEUWdsW0RrYlxC8q3edo2IYe8DbQcnGROqc0HohfritpOXUqt8lk…
Show this thread",,4,3,7
Nycallday,@Nycallday5,2022-05-11T02:57:47.000Z,Have you done any traffic studies proving your cameras work at reducing anything but your bank accounts.,,,,
Ricardo Pacheco,@RPachecoJH,2022-05-11T02:57:47.000Z,"Are you seriously going to allow this corruption to go on? 
@NYCMayor
 @NYCComptroller
 @QueensCrapper
 @gregmocker
 @ImpunityCity
 @QnsBPRichards
 @TaleaWufka
 @HomerNala
 @Gloria69NY
 @NYC_DOT
 @voteshekar
 @GovKathyHochul
 @NYCCouncil
 @QueensEagle
 @jaswalnyc
 @CurtisSliwa
 @queenspost",,,2,6
DoorZone,@D00RZ0NE,2022-05-11T02:57:47.000Z,,,,,
Fund Mass Transit (Bill),@Fundmasstransit,2022-05-11T02:57:47.000Z,Yeah I’m sure pedestrians are the problem,,1,,
H&M USA,@hmusa,2022-05-11T02:57:47.000Z,"hm.com
Watch More",,6,6,97
Fund Mass Transit (Bill),@Fundmasstransit,2022-05-11T02:57:47.000Z,"This is the article where that photo comes from and of course I learned about it from 
@TheWarOnCars",,,,
Upwork,@Upwork,2022-05-11T00:58:47.000Z,"upwork.com
What makes them a great mom also makes them a great hire.",,4,12,55
Terry Bennett,@TerrBennett,2022-05-11T00:58:47.000Z,"Julie Huntington
@jahuntington
 · May 9
I am truly perplexed as to why an NYPD officer was dispatched to sit in his squad car this morning, illegally parked in the Hoyt Ave. S. bike lane, at the very intersection where Karina Larino was killed on Friday evening. 1/2
Show this thread",,,,
alars212,@lisalar212,2022-05-11T00:58:47.000Z,"Given increase in drinking, really concerning that NYC has supported ""take-out drinks"" sought by the restaurant lobby.",,,,
Johnny Friendly,@pedestriansfor,2022-05-11T00:58:47.000Z,We’re not giving power to a private entity with goals that are not aligned with the majority of New Yorkers. Feck that noise.,,,,
ARusso,@ARusso70767162,2022-05-11T00:58:47.000Z,Anything NYC runs will need a federal monitor later on. Unqualified people running NYC and NYC agencies are the new norm. RECALL ADAMS!,,,,
Thinking For Myself,@WonderingBig,2022-05-11T00:58:47.000Z,"@NYCMayor
 @NYCMayorsOffice
 @nyc311
 @NYC_DOT
 @NYCCouncil
 @nycgov
 What are you going to do?",,,,
VeloFamilyNYC,@nyc_velo,2022-05-11T00:58:47.000Z,"This will only work if the #NYPD cracks down on 
@defacedplateNYC
, which is growing exponentially (along with “temporary”, i.e. fake, plates).

There’s only one motive to such well documented surge: evading responsibility, and the police has notoriously engaged in such crimes…",,,1,3
nathe,@natethenoodle,2022-05-11T00:58:47.000Z,They “have the stats” ,,,,1
Sheya Landa,@LandaSheya,2022-05-11T00:58:47.000Z,"0:18
56 views",,,1,4
Karun Mukhi,@sukhimukhi,2022-05-11T00:58:47.000Z,Link to a story or it's not true. Bring your evidence or crawl back behind your anonymous Twitter account.,,1,1,1
Penalosa_G,@Penalosa_G,2022-05-11T00:58:47.000Z,"NYC DOT
@NYC_DOT
 · 23h
0:51
""It's now time for Albany to help us continue to keep New Yorkers safe by expanding and enhancing camera enforcement. Let's get it done. New Yorkers' lives depend on it."" -Commissioner Rodriguez",,,1,1
Dr. Umstick,@Drumstick,2022-05-11T00:58:47.000Z,"mikmak.com
Another Day, Another Drumstick",,6,7,28
john troia,@jayte268,2022-05-11T00:58:47.000Z,Seems like every new idea and move increases the dangers on the city streets,,,,
Myrtle W. Speaks,@Blurena,2022-05-11T00:58:47.000Z,"maybe 
@NYC_DOT
 needs better messaging and a better plan it just keeps getting worse snd worse.",,1,,2
Coney Love,@coneylove,2022-05-11T00:58:47.000Z,"Actually, we have way too many enforcement personnel, but they don't actually enforce anything. They are often the worst perps.",,,,
Citizen01X,@XCitizen01,2022-05-10T23:43:48.000Z,It’s nice to know you care about people being safe riding their bicycles. It’s a shame you could care less about people riding the subway and getting murdered. Of course you probably don’t realize that that is infrastructure as well.,,,,
Jabba the Hutt,@d_wave27,2022-05-10T23:43:48.000Z,I know of incidents involving pedestrians being killed by bikes in 2020 that are not in this “data”. I wonder how many others are there as well. Looks like they just decided not to even collect that data at all whatsoever. Can’t even take it seriously,,2,,1
Karun Mukhi,@sukhimukhi,2022-05-10T23:43:48.000Z,"It's govt data. This is people killed, not people struck.",,1,,
Jabba the Hutt,@d_wave27,2022-05-10T23:43:48.000Z,This is so blatantly false it’s laughable.,,1,,
NYC DOT,@NYC_DOT,2022-05-10T23:43:48.000Z,"ALT
ALT",,,,3
Dave Moore,@DaveMoore20,2022-05-10T23:43:48.000Z,#BanUBER,,,,
