UserName,Comment,Reply-Usernames,Reply-User-Comments
k.charlie_black,And pedestrians looking at their phones while crossing should also get a ticket because ‘watching your phone means you not watching the road’ they should also a void distraction!,[],[],2022-04-25T20:44:55.000Z
brooklynbikedad,I wish the cops would knew this. 😅,[],[],2022-04-25T20:44:55.000Z
lagargola153,Driving a electric bike 50 miles and hour is a crime too,[],[],2022-04-25T20:44:55.000Z
ryandel_update,Yes to all cyclists also! They are always on there phone more than drivers!!!,[],[],2022-04-25T20:44:55.000Z
paskali1984,That’s why traffic was crazy today😤,[],[],2022-04-23T21:20:52.000Z
boba5580,If only bikers could be made to yield to pedestrians...,[],[],2022-04-23T21:20:52.000Z
eggsammiches,This was horrible. Traffic was a complete disaster today. There are other ways to celebrate Earth Day,[],[],2022-04-23T21:20:52.000Z
fredjperry,We need more bike-friendly commuting lanes running East/West through the boroughs.,[],[],2022-04-23T21:20:52.000Z
dtoy666,"If only the #nypd would start ticketing these bikers for breaking the laws and putting pedestrians at risk , just remember -pedestrians come first !",[],[],2022-04-23T21:20:52.000Z
dawnbelotti,🏍 🔨,[],[],2022-04-23T21:20:52.000Z
jeremiahclemente99,"Man what an event. Sure only went to the Broadway one but I did get to explore a street that is given back to the people for the day. I will admit that there really needs to be some improvements for next years rendition, such as more events, and even longer hours and more days for this to be held (every weekend in April to be exact).",[],[],2022-04-23T21:20:52.000Z
ayvonnes,it wasn’t even free literally charged me $30 useless,[],[],2022-04-23T21:20:52.000Z
chriscaseynyc,2 clowns 🤡,[],[],2022-04-23T21:20:52.000Z
femme_naturelle82,Wasn't he sick with Covid? He could've at least put a mask on smh.,[],[],2022-04-23T21:20:52.000Z
lonny485,👏👏,[],[],2022-04-23T21:20:52.000Z
exit17_,Yea ya all could Smd fix the roads and stop sniffing coke at home,[],[],2022-04-23T21:20:52.000Z
naimsuka,Will the healthcare workers parking permit be extended beyond April 30 2022?,[],[],2022-04-23T21:20:52.000Z
amandafgordon,Can y’all share a Google map that’s easier to read?,[],[],2022-04-23T14:57:46.000Z
unkn0wnm0ther4ucker,Open street on weekends = more chaotic traffic jams,[],[],2022-04-23T14:57:46.000Z
toasted.moogle,Permanent please. Return Broadway to the people.,[],[],2022-04-23T14:57:46.000Z
sonia.garian,What will you do about the garbage on the sides of our roads? NYC has turned into a literal DUMP and no one has done anything about it for over a year now. Garbage is accumulating everywhere.,[],[],2022-04-23T14:57:46.000Z
nyc_barby,How is it car free? It’s not like the cars are going away. They’re just being pushed to other streets.,[],[],2022-04-23T14:57:46.000Z
naomilacrespa,Horrible literally the worst service nyc has to offer,[],[],2022-04-23T14:57:46.000Z
brahma8766,🙌🙌🙌🖼🦚💚💚💚💚🌿☘️☘️☘️✅💯👌😍,[],[],2022-04-23T14:57:46.000Z
hitalo_sargentim2005,Anyone knows how does the automated announcements work?,[],[],2022-04-23T14:57:46.000Z
watch_1t_,Another two DEAD in the subway. Wtf !!!,[],[],2022-04-23T14:57:46.000Z
robinsacknoff,what happened to west village,[],[],2022-04-23T14:57:46.000Z
asodociny,Fun fun fun 🤩,[],[],2022-04-23T14:57:46.000Z
ralphnewyork,👀,[],[],2022-04-23T14:57:46.000Z
ladre.7,"Second to the NYPD this is one of the worst organizations in NYC, you guys really suck.",[],[],2022-04-23T14:57:46.000Z
richgone,Is there a map of street closures to avoid traffic?,[],[],2022-04-20T18:54:15.000Z
javistarz1,Keep taking this route pretty soon nyc will have a lot of gas stations closed and there goes your gas tax and not to mention dmv fees and insurance money….,[],[],2022-04-20T18:54:15.000Z
pedegoharlem,Woo🙌 Can't wait! We are offering ebike rentals for anyone interested in taking advantage of this awesome event!,[],[],2022-04-20T18:54:15.000Z
cosmonaut_creema,"If you really care about carbon emissions, you should make all of NYC have one day of moving the cars a week. It isn't fair that only some neighborhoods have this. By moving twice a week you increase emissions and make life harder for people. You also increase the tickets given, which is what the real goal likely is.",[],[],2022-04-20T18:54:15.000Z
cris.mr.money1,Safety First!🙌,[],[],2022-04-19T21:03:58.000Z
jozhua14u,👏,[],[],2022-04-19T21:03:58.000Z
flavortown,No difference whatsoever in how clean the streets are only sweeping once per week. What you’re losing is revenue from ticketing New Yorkers who park on the street. We need permit parking for the whole city for registered NY plates to have priority. Do something about all of these out of state plates!,[],[],2022-04-18T19:48:08.000Z
bitchcakes,Finally!! Thank you!! The bike lanes desperately need cleaning on a consistent basis.,[],[],2022-04-18T19:48:08.000Z
ivan_m_85,Leave alternate side parking reform in place. The residents Of NYC are very happy with the current alternate side street cleaning being on the last day posted on the sign. Let’s focus on outdoor dining and how extremely unsanitary that they are. And the increasing RATS which are taking over this city….,[],[],2022-04-18T19:48:08.000Z
treatise,Fund Composting.,[],[],2022-04-18T19:48:08.000Z
itsevadecker,thank you for sweeping our bike lanes 💛,[],[],2022-04-18T19:48:08.000Z
foreveryoung_m14,Alternate side has nothing to do with why nyc is dirty. It's actually pointless multiple times a week,[],[],2022-04-18T19:48:08.000Z
jfk2mla,The streets are filthy because of the shacks taking up parking spots..not becuase u switched to one day a week street cleaning..SMH 😒 the residents of these communities are going to love having to scramble even more for parking spots again.....stop making things worse!!,[],[],2022-04-18T19:48:08.000Z
highlanderoo1,"Would be great! Would be greater if Sanitation did their pick up before 7am, when kids are going to school.",[],[],2022-04-18T19:48:08.000Z
sastastic,Hope they clean up the streets…been quite a mess for a few months now.,[],[],2022-04-18T19:48:08.000Z
maria.arriola.9,Finally,[],[],2022-04-18T19:48:08.000Z
ramlakhanrajesh,Let’s pave woodhaven blvd & Crossbay blvd,[],[],2022-04-18T19:48:08.000Z
ivantdr1,It’s been a while since I seen a street cleaner pass through the block I live in,[],[],2022-04-18T19:48:08.000Z
_ron_da_don,Sanitation lucky they’re about to have a lot of work,[],[],2022-04-18T19:48:08.000Z
sbojaj,Haha look at the angle. They are going to block the cars in from two sides now.,[],[],2022-04-18T19:48:08.000Z
_zainiac,I want to work for you guys 😢,[],[],2022-04-18T19:48:08.000Z
marknessofdarkness,I was just rear-ended. Minor idle tap but could have been much worse. Make filtering legal.,[],[],2022-04-08T19:11:00.000Z
motoveli,Change the language from weaving (which suggests back and forth between multiple lanes) to splitting,[],[],2022-04-08T19:11:00.000Z
mxm_lmn,Make lane splitting legal in NY!!!,[],[],2022-04-08T19:11:00.000Z
rosspino88,Are you guys subtly telling us to use our best judgment and break the law? 😉🏍💨💨💨,[],[],2022-04-08T19:11:00.000Z
the_brooklyn_sailor,"Lane spitting is legal in so many places because it’s safer and helps with congestion of traffic. Make lane splitting legal in New York. And stop picking on motorcyclists, we do our best to say safe. We are not those quads and dirt bikes you see in large groups that police never go after.",[],[],2022-04-08T19:11:00.000Z
coldstartsmoto,Make lane filtering legal so you can stop demonizing people on 2 wheels. It’s not hard - legal in 6 states and going to be in 2 more soon.,[],[],2022-04-08T19:11:00.000Z
__rkjr,Might as well legalize it 🤷🏻‍♂️we’re gonna keep doing it,[],[],2022-04-08T19:11:00.000Z
skander_ghz,Lane splitting and motorcycle parking please…,[],[],2022-04-08T19:11:00.000Z
brooklynblades,Make it legal. It’s saved my life countless times.,[],[],2022-04-08T19:11:00.000Z
blackrebel13,"It reduces traffic for everyone, legalize it",[],[],2022-04-08T19:11:00.000Z
tempusdeficit,“Weaving” IS NOT the same as “lane splitting.” 🤨,[],[],2022-04-08T19:11:00.000Z
khoogary,Legalize it please,[],[],2022-04-08T19:11:00.000Z
lionscootersny,Drive safe! 🦁,[],[],2022-04-08T19:11:00.000Z
joefhume,Legalize filtering and we need motorcycle parking,[],[],2022-04-08T19:11:00.000Z
chuck0918,Please legalize it as it is safe for us to split than to sit in stop and go traffic. See the UC Berkley study.,[],[],2022-04-08T19:11:00.000Z
lennylobello,"I think the rule on lane splitting or filtering needs to be revisited. I don’t ride, but if you speak to anyone that does filtering passed cars, especially when stopped at a red light, puts the motorcycle in a safer position ahead of traffic. One car not paying attention could rear end a motorcycle.",[],[],2022-04-08T19:11:00.000Z
nyctruckstop,"Fact is traffic safety is based on order and predictability... don't need a law to tell us THAT. When someone pops in and out of traffic lanes, passes on the right through a blind spot, bikes on the sidewalk, or rides the wrong way, THAT increases the likelihood of.....unfortunate outcomes.",[],[],2022-04-08T19:11:00.000Z
soulbrotherjerome,rear end? pay attention to the writing.,[],[],2022-04-08T19:11:00.000Z
rams.robert,Not moving,[],[],2022-04-07T16:12:30.000Z
christiannnity,"Correct!
For pedestrians or bikes to cross grand army plaza into the park takes 3 red lights of over a minute each. On a long ride from Brooklyn to bayside I hit about 60 red lights, adding easily 30min to the trip. A car taking the same route will hit far fewer lights as they are timed for them.",[],[],2022-04-07T16:12:30.000Z
t.heiredal,More public spaces removed for private use is not solving anything,[],[],2022-04-06T19:07:34.000Z
nycgeoninja,More of these pls,[],[],2022-04-06T19:07:34.000Z
stylebyannickdelorme,"Remove the barriers on Ave B so ridiculous, the tiny bunch of people who are behind them, are parking their cars on Ave B ….. they ordered from Amazon and are expecting delivery by FedEx or UPS or USPS…… close the FDR or West Side highway if you do not want cars in Manhattan, Again and Again we have the luxury to have a the Park…….",[],[],2022-04-06T19:07:34.000Z
loadingscreens,more of this but make it free,[],[],2022-04-06T19:07:34.000Z
uppereastsiteny,How does that giant thing only hold 6 bikes?,[],[],2022-04-06T19:07:34.000Z
31staveopenstreet,Can't wait til it's our turn!,[],[],2022-04-06T19:07:34.000Z
dollop_of_dee,😮,[],[],2022-04-06T19:07:34.000Z
westqueenseast,Owner blocked me because he couldn’t handle criticism of his wasteful company that mostly serves rich people making over six figures. These are trash bins and will be treated like such as well as storage for rich people. Waste of tax payer dollars. More bike infrastructure makes conditions worse because there’s no enforcement of it,[],[],2022-04-06T19:07:34.000Z
hairlove1,Meanwhile the Manhattan bridge roads remain a disaster and dangerous. From people swerving potholes.,[],[],2022-04-05T20:27:27.000Z
jgilbertdavis,Also repave the embankments along that section too 🛹💨✨,[],[],2022-04-05T20:27:27.000Z
nycpotholepatrol,Ahh the old weather permitting trick!,[],[],2022-04-05T20:27:27.000Z
oscar2504,Así que todo sea cámaras entren al Bronx Jerone av todo está vuelto un desastre,[],[],2022-04-05T20:27:27.000Z
badm4nwgn,I95 north by co op city needs repairs @nyc_dot,[],[],2022-04-05T20:27:27.000Z
mike_ksquad84,She a really good driver 👍👍👍,[],[],2022-03-28T20:54:40.000Z
terminator_rex,My qualifications include: trolling trolls in your comment section,[],[],2022-03-28T20:54:40.000Z
localistscholar,Best job ever,[],[],2022-03-28T20:54:40.000Z
jalbertosuriel,🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻👏👏👏👏,[],[],2022-03-28T20:54:40.000Z
weathertoast,She's dope 🔥,[],[],2022-03-28T20:54:40.000Z
edpepsi,theres no Job posting for ACHR or Highway roadway repairs?,[],[],2022-03-28T20:54:40.000Z
atmicasa390,Awesome,[],[],2022-03-28T20:54:40.000Z
