UserName,Handle,Timestamp,Comments,Likes,Retweets,Text
A.K.F.,@a_fad_es,2022-05-06T03:58:31.000Z,Is it going to be green and organic? Or destroying more forest and natural land for plastic parks and paved roads?,,,
Red Hook Star-Revue,@RedHookStar,2022-05-06T03:58:31.000Z,It goes the other way as well,,,
CoinTracker,@CoinTracker,2022-05-06T03:58:31.000Z,"cointracker.io
Get Your 8949 Form",317,395,"1,246"
Theadora Paulucci,@teddyspeaks,2022-05-06T03:58:31.000Z,"Did you report this to 
@nyc311
?",,,
"Wilmington, NC Serpentarium Fan",@cob_is_online,2022-05-06T03:58:31.000Z,A man died today because a garbage truck hit him. I think you can put up with being 4 feet closer to the bikes,1,,
ShipofTheseus,@JewishSpaceLazr,2022-05-06T03:58:31.000Z,Baruch Dayan HaEmet,,,
Andrew H Gross,@AndrewHGross,2022-05-06T03:58:31.000Z,"BDE, very sad. Perhaps also a good opportunity to engage 
@NYCBIC
, a little known agency in charge of reducing accidents from private garbage trucks.",,,
Red Hook Star-Revue,@RedHookStar,2022-05-06T03:58:31.000Z,"I do want to say that bike lanes next to the curb can be dangerous to walkers, especially if they are not from the area and haven't ever encountered speeding bikes on the curb. Not to mention cyclists going the wrong way....",1,,
Prime Video,@PrimeVideo,2022-05-06T03:58:31.000Z,,2,41,241
Reasmus,@Reasmus2,2022-05-06T02:30:30.000Z,Julie Menin and 9 others,1,,11
helen gigante,@hgigante,2022-05-06T02:30:30.000Z,Hope you can pay for the city’s expenses as the exodus out goes forward…,,,
Dawn- streets are for people -Siff,@dawnsiff,2022-05-06T02:30:30.000Z,"Tyler Newcomb (He/Him)
@tylernewcomb_
 · Feb 7
The question is often posed: How will emergency vehicles get to where they’re going?

As an EMT, I have several points to make regarding this. 



(Also disclaimer: opinions are my own and do not represent those of my employers) twitter.com/dfwagoner/stat…
Show this thread",2,3,16
lippee,@lippee17,2022-05-06T02:30:30.000Z,Can I first have access to my office space back please? #endvaxmandates,,,
Jimmy Hutchinson,@JimmyHutchin8on,2022-05-06T02:30:30.000Z,"Matt, cars wanna kill you, on your sport bike, too. Choose your allies wisely :)",1,,
Ricardo Pacheco,@RPachecoJH,2022-05-06T02:30:30.000Z,"DOT and a coalition afraid what the results of a paper survey that includes EVERYONE affected would reveal…it’s time for common sense to prevail.
@ydanis
 @voteshekar
 @communityboard3
 @Pb3Banks
 @NYC_DOT",,2,3
NYC Families/Residents Against Congestion Pricing,@NoCongestionTax,2022-05-06T02:30:30.000Z,"Create the congestion, tax the congestion. We see you. 
#axthecongestiontax",,,1
ChainringQueen,@goaliegirl44,2022-05-06T02:30:30.000Z,,,,
ChainringQueen,@goaliegirl44,2022-05-06T02:30:30.000Z,"* many YEARS of organizing, dating back to 2017.",1,,
Ricardo Pacheco,@RPachecoJH,2022-05-06T02:30:30.000Z,We have bike lanes on the avenue.  The privileged few just want to have their version of Central Park right at their doorsteps. Thousands of residents living along the avenue are being simply ignored.  We asked DOT to conduct a paper survey but of course they rather obey TransAlt,1,1,2
CoinTracker,@CoinTracker,2022-05-06T02:30:30.000Z,"cointracker.io
Get Your 8949 Form",317,395,"1,246"
Michael,@blueparts,2022-05-06T02:30:30.000Z,East River Park destroyed many NYCHA residents live where there is no park anymore due to Comrade DeBlasio,,,
JQ LLC: The Impunity City,@ImpunityCity,2022-05-06T02:30:30.000Z,"That's immensely messed up, but what's with the guy falling down again? 

Having said that, It's impossible to ride with pedestrians in the street. It's probably the biggest misconception the bike zealots have.",1,1,3
Ricardo Pacheco,@RPachecoJH,2022-05-06T02:30:30.000Z,"Speeding bikes on 34th Avenue…
@ydanis
 @NYCMayor
 @Pb3Banks
 @Gloria69NY
 @NoBikeLanes
 @NYCCouncil
 @ImpunityCity
 @communityboard3
 @JHCoopsAlliance
 @MelindaKatz
 @NYC_DOT
 @QueensCrapper
 @VickieforNYC
 @LESdwellers
 @NYPDPC",1,2,
BrandonWC,@BrandonWC,2022-05-06T00:55:12.000Z,Honestly even angled parking would be better from a traffic calming prospective than a big painted median.,,,
Carla Sanderson,@csandersonlaw,2022-05-06T00:55:12.000Z,"campbell
@socialistsoup
 · 5h
This is the list of violations from the driver- Michael de Guzman- who killed Raife Milligan. Four school speeding zone violations in the last 6 months, 29 total violations in 7 months. NYC needs to do a better job keeping drivers with clear disregard for the city off the roads.
Show this thread",,,1
