UserName,Handle,Timestamp,Comments,Likes,Retweets,Text
J. RueMel Parkin,@RueMelNYC,2022-05-09T16:55:14.000Z,,,,
NYC DOT,@NYC_DOT,2022-05-09T16:55:14.000Z,Please contact the NY State DOT regarding the Major Deegan Expressway.,,,
NewsNation,@NewsNation,2022-05-09T16:55:14.000Z,"newsnationnow.com
NewsNation – News For All America",114,80,476
Julie Menin,@JulieMenin,2022-05-09T16:55:14.000Z,"uppereastsite.com
69-year-old Man Struck & Dragged by Box Truck on the UES, Critically Injured - Upper East Site
MANHATTAN – A gruesome collision unfolded on Second Avenue near East 90th Street on the Upper East Side Monday morning as a box truck delivering produce struck a 69-year-old man and dragged him on...",,,1
NYC DOT,@NYC_DOT,2022-05-09T16:55:14.000Z,"To share transportation suggestions with the Commissioner and receive follow up, please visit: http://bit.ly/contactDOTCommissioner…",,,
Tony. D,@nyc1cap,2022-05-09T16:55:14.000Z,,,,
NYC Sanitation,@NYCSanitation,2022-05-09T15:41:46.000Z,"@ahbuildny
 @NYC_DOT
 @NYPD108Pct
 @LICPOST
 @LICWaterfront
 @NYPDQueensNorth
 @sunnysidepost
 @queenspost
 @nyc311
 You would have to request ASP with Community Board: https://on.nyc.gov/2NYD4BL Find contact info for Community Board:https://on.nyc.gov/323Nd52 Looping in 
@nyc311
 for assistance.",,,
vegitalist,@vegitalist,2022-05-09T15:41:46.000Z,the bike lane on Broome doesn’t start until west of W Broadway,,,1
NYC DOT,@NYC_DOT,2022-05-09T15:41:46.000Z,"We will forward your suggestion to the appropriate unit. If you would like follow up, please visit: http://bit.ly/contactDOTCommissioner…",,,
Alan Haines,@ahbuildny,2022-05-09T15:41:46.000Z,"Appreciate the outreach. But how can the streets be swept if there is no alternate side of the street parking on Center Blvd? The garbage, weeds & general filth is between & beneath the cars, trucks & stretched limos that never move. 
@NYC_DOT
 . Never seen a street sweeper here",1,,
joseph,@jtedeschi1968,2022-05-09T15:41:46.000Z,,1,1,2
LES Dwellers,@LESdwellers,2022-05-09T15:41:46.000Z,"Bowery Boogie
@boweryboogie
 · 3h
Saigon Social Vows Return After Fire Last Week https://buff.ly/390K5i7",1,1,2
NYC DOT,@NYC_DOT,2022-05-09T15:41:46.000Z,"NYC DOT
@NYC_DOT
 · Apr 26
NYC DOT is hosting a design workshop to collect community feedback on a design proposal for the Berry Open Streets in #Brooklyn.

Join us on 5/14 from 12-4PM on Berry St between North 6th St and North 7th St.
ALT
ALT
ALT",,,1
NeverForget_WhoProlongedThePandemic,@NeverForget2007,2022-05-09T15:41:46.000Z,"Thanks, forgot to add empty 
@BKLYNlibrary
 sheds to the list.",,,
NYC Sanitation,@NYCSanitation,2022-05-09T15:41:46.000Z,"@NeverForget2007
 @NYC_DOT
 Hi, thanks for your comment. Looping in 
@nyc311
 for assistance filing outdoor dining complaint.",1,,
Vogue Magazine,@voguemagazine,2022-05-09T15:41:46.000Z,"Vogue Magazine
@voguemagazine
Red Carpet Risk Takers at the 2022 Met Gala",26,35,413
Snail He/Him,@extrapostage,2022-05-09T15:41:46.000Z,,,,
helen gigante,@hgigante,2022-05-09T15:41:46.000Z,"How to shoot yourself in the foot, Ana Maria",,,
GC11370,@gc11370,2022-05-09T14:33:48.000Z,"Unique Minority
@ModerateMuslim_
 · 3h
Replying to @zuniga_martin and @NYCMayor",,,
Shannon Manning,@shannonmanning,2022-05-09T14:33:48.000Z,,,,
