UserName,Handle,Timestamp,Comments,Likes,Retweets,Text
NYC DOT,@NYC_DOT,2022-05-03T19:36:32.000Z,"ALT
ALT
ALT
ALT",,,3
Steve Vaccaro,@BicyclesOnly,2022-05-03T19:36:32.000Z,"nytimes.com
How to Stop Speeding Drivers? Scare Them.
Traffic deaths in New York City have risen to the highest level in eight years. A new campaign aims to shock them into slowing down.",,,2
H&M USA,@hmusa,2022-05-03T19:36:32.000Z,"hm.com
Shop Now",2,4,44
Milkfacebstrd2,@milkfacebstrd2,2022-05-03T19:36:32.000Z,,,,
NYC DOT,@NYC_DOT,2022-05-03T18:16:38.000Z,"ALT
ALT
ALT
ALT",3,8,27
Nikki Sylianteng,@nsylianteng,2022-05-03T18:16:38.000Z,Indoors? During the next pandemic in the winter?,1,,
helen gigante,@hgigante,2022-05-03T18:16:38.000Z,Traffic violence is linguistical marketing,,,
NYC DOT,@NYC_DOT,2022-05-03T18:16:38.000Z,,6,3,5
DA Eric Gonzalez,@BrooklynDA,2022-05-03T18:16:38.000Z,"NYC DOT
@NYC_DOT
 · May 2
Today’s announcement was made in East New York, Brooklyn, at the location of one of the new campaign’s billboards and a #VisionZero priority area. The new campaign will be widespread across the five boroughs. 

More from @WinnHu: https://nytimes.com/2022/05/02/nyregion/nyc-speeding-traffic-deaths.html…
Show this thread
ALT",1,1,5
@megshashin,@megshashin,2022-05-03T18:16:38.000Z,I was passing in green. Look at the video he crossed the intersection with red!,1,,
NYC DOT,@NYC_DOT,2022-05-03T18:16:38.000Z,"To share transportation concerns with the Commissioner and receive follow up, please visit: http://bit.ly/contactDOTCommissioner…",,,1
Stanley Greenberg,@greenbergphoto1,2022-05-03T18:16:38.000Z,There’s an electronic sign now at Grand Army Plaza that says “slow down for pedestrians”. Does that qualify?,,,
Stop #GreenPrivilege,@NOGreenPrivlege,2022-05-03T18:16:38.000Z,"$4 MILLION for a campaign to counter speeding when THAT'S WHAT WE HAVE POLICE FOR....yet The People can't receive #FreeHealth #FreeEd #AffordableHomes bc people like 
@nycmayor
 @TheDemocrats
 @GOP
 are too busy WASTING our money instead of investing into the people. #StopTheRoyals",,1,1
Old Forester,@oldforester,2022-05-03T18:16:38.000Z,"youtube.com
Kentucky Turtle Derby 2022",40,88,553
AllieRyanNYC #SaveEastRiverPark,@AllieRyanNYC,2022-05-03T18:16:38.000Z,".
@NYC_DOT
 @NYCMayorsOffice",,,
helen gigante,@hgigante,2022-05-03T18:16:38.000Z,Trading in tragedy while collecting a paycheck to do so..scummy,,,
NY1 Noticias,@NY1noticias,2022-05-03T18:16:38.000Z,"ny1noticias.com
Ciclistas del Bronx reciben equipo de seguridad gratuito
El DOT organiza distribuciones gratuitas de cascos.",,,
Laura Shepard,@LAShepard221,2022-05-03T18:16:38.000Z,"Laura Shepard
@LAShepard221
 · Apr 25
So angry to read this and hoping the victim survives.

48th St btwn 37th Ave & Northern Blvd is a chaotic mess and unacceptably unsafe for pedestrians & cyclists. @NYC_DOT must redesign it with traffic calming & protected #BikeQNS lanes.

https://queenspost.com/89-year-old-woman-struck-on-48th-street-by-motorist-coming-out-of-bjs-parking-lot…
Show this thread",2,5,25
Myrtle W. Speaks,@Blurena,2022-05-03T14:30:08.000Z,,,,
Choresh Wald,@Choresh2,2022-05-03T14:30:08.000Z,,,,1
Stanley Greenberg,@greenbergphoto1,2022-05-03T14:30:08.000Z,"between Lincoln and Parkside. NYPD does not enforce posted rules, ""gives courtesy"" to illegally parked cars. No pedestrian safety features can be installed because parking lane becomes travel lane during rush hour.",,,3
Peter W Beadle,@pwbnyc,2022-05-03T14:30:08.000Z,"Queens Community Board 6
@QueensCB6
 · 6h
Do you take the bus?

On May 5 the @MTA & @NYC_DOTr are holding a workshop for our district  If you use the bus please review the plan There are changes and route eliminations.

Queens Bus Redesign Details:  https://tinyurl.com/QNSBUSREDESIGN

 May 5 Workshop:  https://tinyurl.com/QNSBUSWRKSHOPMAY5…
GIF
ALT",,1,2
Crandog,@Crandog2,2022-05-03T14:30:08.000Z,How about just going back indoors?  Some nice tables on sidewalk in good weather. It’s a permanent transfer to the owner of the building. Short term windfall to restaurants which are bad business models dependent on low cost immigrant labor.,,,
Nikki Sylianteng,@nsylianteng,2022-05-03T14:30:08.000Z,"Woow. 

Here’s the restaurant in front of our apartment before and over the course of the pandemic. 

The 
@NYC_DOT
 is proposing like the middle. But what happens in the next pandemic? Restaurants will have to go back to the 3rd pic. There’s gotta be a more sustainable solution.",1,,
Pedro 我是纽约人,@_pjrt,2022-05-03T14:30:08.000Z,"I think you meant 
@NYC_DOT
 . But I would love for 
@NYC_DOTr
 to join the convo ",,,1
1800 Tequila,@1800Tequila,2022-05-03T14:30:08.000Z,"1800tequila.com
Five-star Cinco by 1800 Tequila",2,7,89
Emma Otheguy,@EmmaOtheguy,2022-05-03T14:30:08.000Z,"Thanks! I submitted a concern. I was disappointed to learn that DOT will measure ""pedestrian volume"" before considering traffic signal. Of *course* pedestrian volume there is low. Because it's not safe, least of all for going to park w/ kids! Build traffic signal & will be high.",,,
MotoBX,@MotoBX,2022-05-03T14:30:08.000Z,"""New Yorkers will see for themselves the horrible aftermath of driving too fast""... But we will do nothing about it except this media blitz",,,
Grand St. Parking Lane,@GrandSt_Parking,2022-05-03T14:30:08.000Z,"We need traffic-calming infrastructure and protected bike lanes.

Numerous big cities all over the world have already figured this out and solved it already. The solution is right there in front of us, why won’t you build better streets?",,,1
Rita Joseph #BlackLivesMatter,@RitaJosephNYC,2022-05-03T14:30:08.000Z,What cross streets? Will send to precinct,1,,1
Gayle,@gayle_olson,2022-05-03T13:11:15.000Z,,,,
Kat O'Brien,@OBrien_Kat,2022-05-03T13:11:15.000Z,,,,2
uaf,@__uaf__,2022-05-03T13:11:15.000Z,Shared micromobility providers enforce speed with geofencing. Require all new motor vehicles to comply with speed limit geofencing in 3 years if they still want to be able to sell their cars in your country. Level playing field. Sales opportunity/fomo dilemma.,,,1
